date,class,predicted_demand,actual_demand
2024-09-16,2nd Class,1434,1566
2024-09-16,3rd Class,3040,3416
2024-09-17,1st Class,306,302
2024-09-17,2nd Class,1873,1808
2024-09-17,3rd Class,3958,4062
2024-09-18,1st Class,210,215
2024-09-18,2nd Class,1301,1254
2024-09-18,3rd Class,2782,2691
2024-09-19,1st Class,213,237
2024-09-19,2nd Class,1315,1410
2024-09-19,3rd Class,2827,3035
2024-09-20,1st Class,283,266
2024-09-20,2nd Class,1721,1596
2024-09-20,3rd Class,3685,3542
2024-09-21,1st Class,320,334
2024-09-21,2nd Class,1903,2045
2024-09-21,3rd Class,4140,4535
2024-09-22,1st Class,290,315
2024-09-22,2nd Class,1731,1879
2024-09-22,3rd Class,3795,4089
2024-09-23,1st Class,291,312
2024-09-23,2nd Class,1760,1821
2024-09-23,3rd Class,3765,3972
2024-09-24,1st Class,224,253
2024-09-24,2nd Class,1369,1522
2024-09-24,3rd Class,2898,3404
2024-09-25,1st Class,219,220
2024-09-25,2nd Class,1347,1340
2024-09-25,3rd Class,2859,2949
2024-09-26,1st Class,267,280
2024-09-26,2nd Class,1630,1680
2024-09-26,3rd Class,3488,3696
2024-09-27,1st Class,247,233
2024-09-27,2nd Class,1462,1416
2024-09-27,3rd Class,3113,2998
2024-09-28,1st Class,137,129
2024-09-28,2nd Class,832,769
2024-09-28,3rd Class,1768,1592
2024-09-29,1st Class,183,195
2024-09-29,2nd Class,1100,1173
2024-09-29,3rd Class,2326,2549
2024-09-30,1st Class,284,297
2024-09-30,2nd Class,1705,1852
2024-09-30,3rd Class,3637,3942
2024-10-01,1st Class,207,216
2024-10-01,2nd Class,1229,1262
2024-10-01,3rd Class,2675,2854
2024-10-02,1st Class,359,358
2024-10-02,2nd Class,2200,2192
2024-10-02,3rd Class,4685,4844
2024-10-03,1st Class,143,173
2024-10-03,2nd Class,878,1005
2024-10-03,3rd Class,1886,2220
2024-10-04,1st Class,337,309
2024-10-04,2nd Class,1993,1852
2024-10-04,3rd Class,4341,4095
2024-10-05,1st Class,215,221
2024-10-05,2nd Class,1315,1344
2024-10-05,3rd Class,2796,2952
2024-10-06,1st Class,279,293
2024-10-06,2nd Class,1677,1780
2024-10-06,3rd Class,3666,3816
2024-10-07,1st Class,299,299
2024-10-07,2nd Class,1785,1819
2024-10-07,3rd Class,3820,3947
2024-10-08,1st Class,260,266
2024-10-08,2nd Class,1567,1657
2024-10-08,3rd Class,3377,3457
2024-10-09,1st Class,262,282
2024-10-09,2nd Class,1583,1708
2024-10-09,3rd Class,3413,3750
2024-10-10,1st Class,270,225
2024-10-10,2nd Class,1620,1347
2024-10-10,3rd Class,3439,2952
2024-10-11,1st Class,326,328
2024-10-11,2nd Class,1984,2007
2024-10-11,3rd Class,4220,4513
2024-10-12,1st Class,231,239
2024-10-12,2nd Class,1408,1473
2024-10-12,3rd Class,3035,3192
2024-10-13,1st Class,286,284
2024-10-13,2nd Class,1710,1739
2024-10-13,3rd Class,3690,3867
2024-10-14,1st Class,238,228
2024-10-14,2nd Class,1430,1352
2024-10-14,3rd Class,3082,2972
2024-10-15,1st Class,313,311
2024-10-15,2nd Class,1883,1915
2024-10-15,3rd Class,4056,4001
2024-10-16,1st Class,283,292
2024-10-16,2nd Class,1734,1789
2024-10-16,3rd Class,3740,3965
2024-10-17,1st Class,290,288
2024-10-17,2nd Class,1731,1759
2024-10-17,3rd Class,3699,3788
2024-10-18,1st Class,264,248
2024-10-18,2nd Class,1608,1508
2024-10-18,3rd Class,3501,3259
2024-10-19,1st Class,388,413
2024-10-19,2nd Class,2332,2508
2024-10-19,3rd Class,5057,5334
2024-10-20,1st Class,222,217
2024-10-20,2nd Class,1314,1301
2024-10-20,3rd Class,2861,2818
2024-10-21,1st Class,316,337
2024-10-21,2nd Class,1906,1978
2024-10-21,3rd Class,4063,4325
2024-10-22,1st Class,153,154
2024-10-22,2nd Class,936,965
2024-10-22,3rd Class,1960,2046
2024-10-23,1st Class,247,259
2024-10-23,2nd Class,1509,1540
2024-10-23,3rd Class,3237,3266
2024-10-24,1st Class,205,226
2024-10-24,2nd Class,1238,1319
2024-10-24,3rd Class,2661,3018
2024-10-25,1st Class,157,156
2024-10-25,2nd Class,968,955
2024-10-25,3rd Class,2101,2110
2024-10-26,1st Class,296,299
2024-10-26,2nd Class,1790,1847
2024-10-26,3rd Class,3937,4035
2024-10-27,1st Class,361,358
2024-10-27,2nd Class,2200,2233
2024-10-27,3rd Class,4761,4634
2024-10-28,1st Class,234,258
2024-10-28,2nd Class,1425,1551
2024-10-28,3rd Class,3058,3347
2024-10-29,1st Class,238,222
2024-10-29,2nd Class,1432,1333
2024-10-29,3rd Class,3070,3010
2024-10-30,1st Class,329,343
2024-10-30,2nd Class,2010,2038
2024-10-30,3rd Class,4267,4423
2024-10-31,1st Class,301,330
2024-10-31,2nd Class,1806,1971
2024-10-31,3rd Class,3879,4256
2024-11-01,1st Class,311,288
2024-11-01,2nd Class,1850,1692
2024-11-01,3rd Class,3960,3688
2024-11-02,1st Class,393,378
2024-11-02,2nd Class,2338,2297
2024-11-02,3rd Class,5135,4941
2024-11-03,1st Class,329,344
2024-11-03,2nd Class,1943,2061
2024-11-03,3rd Class,4267,4480
2024-11-04,1st Class,179,192
2024-11-04,2nd Class,1097,1149
2024-11-04,3rd Class,2286,2478
2024-11-05,1st Class,142,150
2024-11-05,2nd Class,843,888
2024-11-05,3rd Class,1850,1873
2024-11-06,1st Class,290,273
2024-11-06,2nd Class,1746,1622
2024-11-06,3rd Class,3757,3456
2024-11-07,1st Class,464,519
2024-11-07,2nd Class,2798,3113
2024-11-07,3rd Class,6036,6932
2024-11-08,1st Class,252,242
2024-11-08,2nd Class,1529,1451
2024-11-08,3rd Class,3334,3099
2024-11-09,1st Class,206,214
2024-11-09,2nd Class,1241,1286
2024-11-09,3rd Class,2690,2777
2024-11-10,1st Class,361,373
2024-11-10,2nd Class,2162,2211
2024-11-10,3rd Class,4679,4901
2024-11-11,1st Class,275,313
2024-11-11,2nd Class,1643,1892
2024-11-11,3rd Class,3547,4066
2024-11-12,1st Class,276,287
2024-11-12,2nd Class,1673,1715
2024-11-12,3rd Class,3598,3825
2024-11-13,1st Class,203,203
2024-11-13,2nd Class,1215,1254
2024-11-13,3rd Class,2687,2630
2024-11-14,1st Class,174,189
2024-11-14,2nd Class,1049,1174
2024-11-14,3rd Class,2255,2527
2024-11-15,1st Class,334,301
2024-11-15,2nd Class,2028,1848
2024-11-15,3rd Class,4425,4010
2024-11-16,1st Class,252,257
2024-11-16,2nd Class,1527,1483
2024-11-16,3rd Class,3322,3341
2024-11-17,1st Class,304,330
2024-11-17,2nd Class,1840,1963
2024-11-17,3rd Class,4006,4317
2024-11-18,1st Class,312,328
2024-11-18,2nd Class,1917,1984
2024-11-18,3rd Class,4025,4308
2024-11-19,1st Class,304,311
2024-11-19,2nd Class,1886,1858
2024-11-19,3rd Class,4037,3981
2024-11-20,1st Class,328,333
2024-11-20,2nd Class,1955,2046
2024-11-20,3rd Class,4255,4334
2024-11-21,1st Class,313,319
2024-11-21,2nd Class,1870,1937
2024-11-21,3rd Class,4004,4254
2024-11-22,1st Class,384,339
2024-11-22,2nd Class,2301,1994
2024-11-22,3rd Class,5026,4421
2024-11-23,1st Class,477,499
2024-11-23,2nd Class,2810,2995
2024-11-23,3rd Class,6156,6356
2024-11-24,1st Class,207,200
2024-11-24,2nd Class,1200,1244
2024-11-24,3rd Class,2551,2589
2024-11-25,1st Class,169,179
2024-11-25,2nd Class,1033,1118
2024-11-25,3rd Class,2253,2333
2024-11-26,1st Class,217,230
2024-11-26,2nd Class,1292,1430
2024-11-26,3rd Class,2812,3165
2024-11-27,1st Class,130,137
2024-11-27,2nd Class,793,844
2024-11-27,3rd Class,1695,1803
2024-11-28,1st Class,413,431
2024-11-28,2nd Class,2484,2599
2024-11-28,3rd Class,5289,5676
2024-11-29,1st Class,347,330
2024-11-29,2nd Class,2081,2055
2024-11-29,3rd Class,4459,4197
2024-11-30,1st Class,533,537
2024-11-30,2nd Class,3138,3294
2024-11-30,3rd Class,6781,6943
2024-12-01,1st Class,176,183
2024-12-01,2nd Class,1098,1104
2024-12-01,3rd Class,2307,2355
2024-12-02,1st Class,436,462
2024-12-02,2nd Class,2642,2776
2024-12-02,3rd Class,5702,6011
2024-12-03,1st Class,231,242
2024-12-03,2nd Class,1391,1476
2024-12-03,3rd Class,2961,3156
2024-12-04,1st Class,101,105
2024-12-04,2nd Class,625,617
2024-12-04,3rd Class,1337,1327
2024-12-05,1st Class,373,388
2024-12-05,2nd Class,2243,2317
2024-12-05,3rd Class,4768,5094
2024-12-06,1st Class,349,348
2024-12-06,2nd Class,2119,2083
2024-12-06,3rd Class,4536,4547
2024-12-07,1st Class,203,200
2024-12-07,2nd Class,1220,1203
2024-12-07,3rd Class,2600,2645
2024-12-08,1st Class,295,297
2024-12-08,2nd Class,1787,1823
2024-12-08,3rd Class,3838,3871
2024-12-09,1st Class,199,194
2024-12-09,2nd Class,1205,1219
2024-12-09,3rd Class,2637,2611
2024-12-10,1st Class,211,223
2024-12-10,2nd Class,1259,1371
2024-12-10,3rd Class,2620,2830
2024-12-11,1st Class,308,319
2024-12-11,2nd Class,1871,1945
2024-12-11,3rd Class,4036,4118
2024-12-12,1st Class,197,202
2024-12-12,2nd Class,1168,1226
2024-12-12,3rd Class,2496,2640
2024-12-13,1st Class,370,386
2024-12-13,2nd Class,2244,2302
2024-12-13,3rd Class,4791,4894
2024-12-14,1st Class,247,256
2024-12-14,2nd Class,1505,1540
2024-12-14,3rd Class,3206,3316
2024-12-15,1st Class,468,452
2024-12-15,2nd Class,2801,2778
2024-12-15,3rd Class,6037,6029
2024-12-16,1st Class,297,309
2024-12-16,2nd Class,1811,1825
2024-12-16,3rd Class,3854,4026
2024-12-17,1st Class,367,384
2024-12-17,2nd Class,2266,2245
2024-12-17,3rd Class,4775,4960
2024-12-18,1st Class,306,335
2024-12-18,2nd Class,1841,2004
2024-12-18,3rd Class,4037,4370
2024-12-19,1st Class,278,285
2024-12-19,2nd Class,1688,1728
2024-12-19,3rd Class,3639,3699
2024-12-20,1st Class,291,281
2024-12-20,2nd Class,1787,1683
2024-12-20,3rd Class,3756,3506
2024-12-21,1st Class,321,326
2024-12-21,2nd Class,1955,2003
2024-12-21,3rd Class,4192,4351
2024-12-22,1st Class,459,448
2024-12-22,2nd Class,2751,2697
2024-12-22,3rd Class,5842,5800
2024-12-23,1st Class,280,284
2024-12-23,2nd Class,1711,1698
2024-12-23,3rd Class,3697,3690
2024-12-24,1st Class,130,142
2024-12-24,2nd Class,795,864
2024-12-24,3rd Class,1711,1866
2024-12-25,1st Class,236,239
2024-12-25,2nd Class,1470,1462
2024-12-25,3rd Class,3062,3167
2024-12-26,1st Class,312,315
2024-12-26,2nd Class,1925,1951
2024-12-26,3rd Class,4067,4223
2024-12-27,1st Class,255,225
2024-12-27,2nd Class,1544,1345
2024-12-27,3rd Class,3279,2853
2024-12-28,1st Class,366,368
2024-12-28,2nd Class,2213,2211
2024-12-28,3rd Class,4697,4794
2024-12-29,1st Class,395,394
2024-12-29,2nd Class,2405,2382
2024-12-29,3rd Class,5124,5134
2024-12-30,1st Class,355,403
2024-12-30,2nd Class,2397,2431
2024-12-30,3rd Class,4787,5248
2024-12-31,1st Class,287,329
2024-12-31,2nd Class,1972,1997
2024-12-31,3rd Class,3764,4266
