record_id,date,year,month,day_of_week,day_type,is_public_holiday,holiday_name,is_covid_lockdown_period,origin_station,destination_station,line_name,distance_km,train_type,class,seat_capacity,tickets_sold,seat_utilization_pct,fare_lkr,revenue_lkr,delay_minutes
16054,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,1st Class,25,1,4.0,1901.09,1901.09,0
16055,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,2nd Class,150,6,4.0,1085.42,6512.52,32
16056,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,3rd Class,325,18,5.54,529.08,9523.44,16
16057,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,1st Class,37,4,10.81,1492.76,5971.04,17
16058,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,2nd Class,225,29,12.89,809.66,23480.14,92
16059,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,3rd Class,487,47,9.65,407.41,19148.27,22
16060,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,1st Class,25,1,4.0,1601.1,1601.1,35
16061,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,2nd Class,150,9,6.0,820.7,7386.3,21
16062,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,3rd Class,325,19,5.85,396.92,7541.48,22
16063,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,1st Class,37,4,10.81,1525.81,6103.24,0
16064,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,2nd Class,225,23,10.22,846.3,19464.9,22
16065,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,3rd Class,487,71,14.58,419.58,29790.18,21
16066,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,1st Class,45,2,4.44,1136.35,2272.7,0
16067,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,2nd Class,270,15,5.56,585.86,8787.9,13
16068,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,3rd Class,585,25,4.27,314.69,7867.25,10
16069,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,1st Class,37,4,10.81,1180.87,4723.48,6
16070,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,2nd Class,225,39,17.33,629.62,24555.18,28
16071,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,3rd Class,487,102,20.94,314.96,32125.92,0
16072,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,1st Class,37,1,2.7,3253.48,3253.48,8
16073,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,2nd Class,225,17,7.56,1729.24,29397.08,21
16074,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,3rd Class,487,26,5.34,889.86,23136.36,26
16075,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,1st Class,45,7,15.56,1559.0,10913.0,17
16076,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,2nd Class,270,43,15.93,870.61,37436.23,69
16077,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,3rd Class,585,99,16.92,412.97,40884.03,25
16078,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,1st Class,37,2,5.41,1527.41,3054.82,12
16079,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,2nd Class,225,16,7.11,811.35,12981.6,14
16080,2021-05-30,2021,5,Sunday,Weekend,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Intercity,3rd Class,487,46,9.45,416.73,19169.58,22
16081,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,1st Class,37,2,5.41,1246.21,2492.42,6
16082,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,2nd Class,225,9,4.0,627.32,5645.88,3
16083,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,3rd Class,487,17,3.49,328.95,5592.15,0
16084,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Slow/Local,1st Class,25,2,8.0,425.73,851.46,16
16085,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Slow/Local,2nd Class,150,11,7.33,252.39,2776.29,17
16086,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Slow/Local,3rd Class,325,33,10.15,117.75,3885.75,0
16087,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Express,1st Class,45,2,4.44,1967.52,3935.04,9
16088,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Express,2nd Class,270,19,7.04,1086.49,20643.31,0
16089,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Express,3rd Class,585,32,5.47,522.91,16733.12,15
16090,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,1st Class,45,2,4.44,3277.34,6554.68,28
16091,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,2nd Class,270,15,5.56,1771.63,26574.45,19
16092,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,3rd Class,585,39,6.67,835.57,32587.23,13
16093,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,1st Class,37,1,2.7,3272.5,3272.5,57
16094,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,2nd Class,225,6,2.67,1660.02,9960.12,12
16095,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Intercity,3rd Class,487,17,3.49,846.34,14387.78,12
16096,2021-05-31,2021,5,Monday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Slow/Local,1st Class,25,1,4.0,2114.21,2114.21,19
16097,2021-05-31,2021,5,Monday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Slow/Local,2nd Class,150,10,6.67,1112.03,11120.3,13
16098,2021-05-31,2021,5,Monday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Slow/Local,3rd Class,325,20,6.15,560.58,11211.6,5
16099,2021-05-31,2021,5,Monday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,1st Class,45,2,4.44,671.72,1343.44,17
16100,2021-05-31,2021,5,Monday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,2nd Class,270,13,4.81,359.45,4672.85,14
16101,2021-05-31,2021,5,Monday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,3rd Class,585,53,9.06,180.06,9543.18,12
16102,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,1st Class,25,2,8.0,1616.64,3233.28,0
16103,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,2nd Class,150,19,12.67,885.35,16821.65,6
16104,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,3rd Class,325,36,11.08,431.36,15528.96,6
16105,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Intercity,1st Class,37,3,8.11,3352.31,10056.93,10
16106,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Intercity,2nd Class,225,19,8.44,1836.92,34901.48,10
16107,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Intercity,3rd Class,487,53,10.88,907.31,48087.43,9
16108,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,1st Class,32,1,3.12,3616.26,3616.26,13
16109,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,2nd Class,195,9,4.62,2048.2,18433.8,4
16110,2021-05-31,2021,5,Monday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Night Mail,3rd Class,422,14,3.32,1016.32,14228.48,20
16111,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Slow/Local,1st Class,25,1,4.0,1164.78,1164.78,0
16112,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Slow/Local,2nd Class,150,10,6.67,610.12,6101.2,25
16113,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Slow/Local,3rd Class,325,15,4.62,301.82,4527.3,24
16114,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,1st Class,25,1,4.0,1449.12,1449.12,0
16115,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,2nd Class,150,11,7.33,732.23,8054.53,0
16116,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,3rd Class,325,28,8.62,362.91,10161.48,4
16117,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,1st Class,37,3,8.11,1118.21,3354.63,18
16118,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,2nd Class,225,28,12.44,623.69,17463.32,31
16119,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Intercity,3rd Class,487,41,8.42,286.25,11736.25,21
16120,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,1st Class,45,2,4.44,1482.37,2964.74,29
16121,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,2nd Class,270,16,5.93,804.77,12876.32,19
16122,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,3rd Class,585,33,5.64,414.67,13684.11,11
16123,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,2,8.0,3559.62,7119.24,0
16124,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,18,12.0,1946.27,35032.86,13
16125,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,37,11.38,931.23,34455.51,0
16126,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,1st Class,25,0,0.0,1368.91,0.0,12
16127,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,2nd Class,150,4,2.67,732.52,2930.08,13
16128,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,3rd Class,325,11,3.38,369.01,4059.11,21
16129,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,1st Class,45,1,2.22,1107.65,1107.65,25
16130,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,2nd Class,270,13,4.81,601.33,7817.29,16
16131,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Express,3rd Class,585,25,4.27,313.01,7825.25,4
16132,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,1st Class,37,1,2.7,3880.16,3880.16,16
16133,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,2nd Class,225,9,4.0,1992.48,17932.32,23
16134,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,3rd Class,487,27,5.54,959.57,25908.39,25
16135,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,1st Class,37,5,13.51,3705.9,18529.5,9
16136,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,2nd Class,225,28,12.44,2044.89,57256.92,31
16137,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,3rd Class,487,44,9.03,985.35,43355.4,7
16138,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,3,12.0,3620.41,10861.23,14
16139,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,21,14.0,1909.18,40092.78,0
16140,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,41,12.62,950.79,38982.39,9
16141,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,1st Class,37,5,13.51,1258.4,6292.0,5
16142,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,2nd Class,225,23,10.22,643.44,14799.12,10
16143,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Intercity,3rd Class,487,44,9.03,337.35,14843.4,9
16144,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,1st Class,37,2,5.41,3666.66,7333.32,16
16145,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,2nd Class,225,10,4.44,2107.56,21075.6,23
16146,2021-06-01,2021,6,Tuesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Intercity,3rd Class,487,16,3.29,976.83,15629.28,16
16147,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Intercity,1st Class,37,1,2.7,444.08,444.08,85
16148,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Intercity,2nd Class,225,13,5.78,241.48,3139.24,0
16149,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Intercity,3rd Class,487,29,5.95,118.57,3438.53,5
16150,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,1st Class,25,2,8.0,1170.42,2340.84,0
16151,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,2nd Class,150,12,8.0,677.78,8133.36,0
16152,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Slow/Local,3rd Class,325,17,5.23,315.23,5358.91,7
16153,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Night Mail,1st Class,32,1,3.12,434.82,434.82,5
16154,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Night Mail,2nd Class,195,15,7.69,240.32,3604.8,12
16155,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Negombo,Main Line,37,Night Mail,3rd Class,422,17,4.03,118.96,2022.32,10
16156,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,1st Class,37,5,13.51,1973.93,9869.65,0
16157,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,2nd Class,225,29,12.89,1147.46,33276.34,21
16158,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,3rd Class,487,39,8.01,571.36,22283.04,12
16159,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,1st Class,45,3,6.67,2359.39,7078.17,7
16160,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,2nd Class,270,27,10.0,1391.8,37578.6,18
16161,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,3rd Class,585,55,9.4,642.99,35364.45,9
16162,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,1st Class,45,2,4.44,705.85,1411.7,11
16163,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,2nd Class,270,14,5.19,393.16,5504.24,9
16164,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Maradana,Avissawella,Kelani Valley Line,58,Express,3rd Class,585,19,3.25,191.34,3635.46,11
16165,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,1st Class,25,0,0.0,3391.78,0.0,0
16166,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,2nd Class,150,5,3.33,1947.72,9738.6,3
16167,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Badulla,Main Line,292,Slow/Local,3rd Class,325,11,3.38,921.01,10131.11,20
16168,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Night Mail,1st Class,32,1,3.12,1076.66,1076.66,31
16169,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Night Mail,2nd Class,195,13,6.67,624.72,8121.36,15
16170,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Kurunegala,Northern Line,94,Night Mail,3rd Class,422,39,9.24,287.47,11211.33,23
16171,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Express,1st Class,45,3,6.67,1267.7,3803.1,11
16172,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Express,2nd Class,270,31,11.48,665.87,20641.97,29
16173,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Ratnapura,Main Line branch,101,Express,3rd Class,585,86,14.7,311.54,26792.44,15
16174,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Intercity,1st Class,37,5,13.51,1395.44,6977.2,7
16175,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Intercity,2nd Class,225,15,6.67,753.88,11308.2,11
16176,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Intercity,3rd Class,487,59,12.11,379.9,22414.1,9
16177,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Slow/Local,1st Class,25,1,4.0,3871.48,3871.48,3
16178,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Slow/Local,2nd Class,150,3,2.0,2008.67,6026.01,28
16179,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Batticaloa,Batticaloa Line,314,Slow/Local,3rd Class,325,7,2.15,1027.53,7192.71,18
16180,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,1st Class,45,2,4.44,3189.96,6379.92,1
16181,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,2nd Class,270,10,3.7,1728.49,17284.9,4
16182,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Express,3rd Class,585,22,3.76,868.65,19110.3,0
16183,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,1st Class,37,4,10.81,2059.62,8238.48,0
16184,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,2nd Class,225,18,8.0,1085.19,19533.42,0
16185,2021-06-02,2021,6,Wednesday,Weekday,0,,1,Kandy,Badulla,Main Line,171,Intercity,3rd Class,487,50,10.27,559.65,27982.5,9
16186,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Express,1st Class,45,1,2.22,1476.74,1476.74,5
16187,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Express,2nd Class,270,10,3.7,813.53,8135.3,8
16188,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Express,3rd Class,585,25,4.27,397.71,9942.75,0
16189,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,1st Class,25,2,8.0,1894.97,3789.94,23
16190,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,2nd Class,150,18,12.0,1002.82,18050.76,12
16191,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Slow/Local,3rd Class,325,23,7.08,505.09,11617.07,53
16192,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Night Mail,1st Class,32,2,6.25,1524.31,3048.62,16
16193,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Night Mail,2nd Class,195,9,4.62,755.73,6801.57,23
16194,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Night Mail,3rd Class,422,21,4.98,388.54,8159.34,7
16195,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Slow/Local,1st Class,25,3,12.0,1455.67,4367.01,18
16196,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Slow/Local,2nd Class,150,19,12.67,776.82,14759.58,20
16197,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Kandy,Main Line,121,Slow/Local,3rd Class,325,38,11.69,401.21,15245.98,9
16198,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Intercity,1st Class,37,1,2.7,2002.8,2002.8,20
16199,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Intercity,2nd Class,225,17,7.56,1038.71,17658.07,8
16200,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Matara,Coastal Line,160,Intercity,3rd Class,487,40,8.21,503.64,20145.6,24
16201,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Jaffna,Northern Line,396,Intercity,1st Class,37,3,8.11,4829.48,14488.44,7
16202,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Jaffna,Northern Line,396,Intercity,2nd Class,225,12,5.33,2541.11,30493.32,2
16203,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Jaffna,Northern Line,396,Intercity,3rd Class,487,32,6.57,1263.05,40417.6,6
16204,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,1st Class,25,0,0.0,1588.72,0.0,8
16205,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,2nd Class,150,5,3.33,828.31,4141.55,5
16206,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Slow/Local,3rd Class,325,18,5.54,406.84,7323.12,1
16207,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,1st Class,45,3,6.67,2565.11,7695.33,21
16208,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,2nd Class,270,29,10.74,1307.91,37929.39,42
16209,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Anuradhapura,Northern Line,205,Express,3rd Class,585,33,5.64,643.54,21236.82,13
16210,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,1st Class,32,1,3.12,3300.64,3300.64,32
16211,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,2nd Class,195,6,3.08,1747.68,10486.08,37
16212,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Trincomalee,Trincomalee Line,267,Night Mail,3rd Class,422,12,2.84,835.68,10028.16,16
16213,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,1st Class,25,2,8.0,1441.59,2883.18,40
16214,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,2nd Class,150,13,8.67,720.19,9362.47,3
16215,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Slow/Local,3rd Class,325,38,11.69,372.82,14167.16,21
16216,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,1st Class,45,1,2.22,1521.06,1521.06,7
16217,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,2nd Class,270,6,2.22,805.6,4833.6,28
16218,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Puttalam,Puttalam Line,130,Express,3rd Class,585,17,2.91,415.94,7070.98,15
16219,2021-06-03,2021,6,Thursday,Weekday,0,,1,Colombo Fort,Galle,Coastal Line,116,Intercity,1st Class,37,2,5.41,1402.95,2805.9,63
